"Central African Rep, Special Services",0,"0,46624896"
Chad,0,"0,33457536"
"Chad, mobile",0,"0,62290944"
"Chad, Special Services",0,"2,325024"
Chatham Island,0,"0,03338496"
Chile,0,"0,03338496"
"Chile, Easter Island",0,"0,03545856"
"Chile, mobile",0,"0,03960576"
"Chile, Santiago",0,"0,0186624"
China,0,"0,010368"
"China, Beijing",0,"0,010368"
"China, Fuzhou",0,"0,02112"
"China, Guangzhou",0,"0,02112"
"China, mobile",0,"0,010368"
"China, Nanjing",0,"0,02112"
"China, Shanghai",0,"0,02112"
"China, Shenzhen",0,"0,02112"
Christmas Island,0,"0,05629824"
Cocos Island,0,"0,05629824"
Colombia,0,"0,04593024"
"Colombia, Barranquilla",0,"0,02923776"
"Colombia, Bogota",0,"0,02923776"
"Colombia, Cali",0,"0,0165888"
"Colombia, Cities",0,"0,02923776"
"Colombia, Medellin",0,"0,04800384"
"Colombia, mobile",0,"0,10658304"
"Colombia, mobile Comcel",0,"0,06044544"
"Colombia, mobile Movistar",0,"0,08989056"
"Colombia, mobile Tigo",0,"0,10450944"
Comoros,0,"0,5811264"
Congo,0,"0,5645376"
Congo Democratic Republic,0,"0,60414336"
"Congo Democratic Republic, CCT mobile",0,"0,30305664"
"Congo Democratic Republic, Celtel mobile",0,"0,36370944"
"Congo Democratic Republic, mobile",0,"0,8885376"
"Congo Democratic Republic, mobile Vodacom",0,"0,2571264"
"Congo Democratic Republic, Tigo mobile",0,"0,3950208"
"Congo, mobile",0,"0,5204736"
Cook Islands,0,"1,16246016"
"Cook Islands, mobile",0,"1,16246016"
"Cook Islands, Special Services",0,"4,6479744"
Costa Rica,0,"0,0186624"
"Costa Rica, mobile",0,"0,08366976"
Croatia,0,"0,02509056"
"Croatia, mobile",0,"0,15261696"
"Croatia, Zagreb",0,"0,0165888"
Cuba,0,"0,97635456"
"Cuba, mobile",0,"0,97635456"
Cyprus,0,"0,0145152"
"Cyprus, mobile",0,"0,05215104"
"Cyprus, North",0,"0,0710208"
Czech Republic,0,"0,03131136"
"Czech Republic, mobile",0,"0,02923776"
"Czech Republic, Prague",0,"0,03131136"
Denmark,0,"0,0124416"
"Denmark, mobile",0,"0,249504"
"Denmark, mobile Barablu",0,"0,03545856"
"Denmark, mobile HI3G",0,"0,03545856"
"Denmark, mobile Others",0,"0,03545856"
"Denmark, mobile TDC Mobil",0,"0,03545856"
"Denmark, mobile Telenor",0,"0,03545856"
"Denmark, mobile Telia mobile",0,"0,03545856"
Diego Garcia,0,"2,11590144"
Djibouti,0,"0,48086784"
"Djibouti, mobile",0,"0,47869056"
Dominica,0,"0,14639616"
"Dominica, mobile",0,"0,3260736"
Dominican Republic,0,"0,03545856"
"Dominican Republic, mob Centennial",0,"0,11073024"
"Dominican Republic, mob Orange",0,"0,11280384"
"Dominican Republic, mob Others",0,"0,11073024"
"Dominican Republic, mob Tricom",0,"0,11073024"
"Dominican Republic, mobile",0,"0,163488"
"Dominican Republic, mobile Ce",0,"0,163488"
"Dominican Republic, mobile Or",0,"0,163488"
"Dominican Republic, mobile Ot",0,"0,163488"
"Dominican Republic, mobile Tricom",0,"0,163488"
Ecuador,0,"0,1441152"
"Ecuador, Cuenca",0,"0,1441152"
