traffic_direction,rate,time_slot
"Colombia, mobile Movistar",0.08989056,flat
"Colombia, mobile Tigo",0.10450944,flat
Comoros,0.58112640,flat
Congo,0.56453760,flat
Congo Democratic Republic,0.60414336,flat
"Congo Democratic Republic, CCT mobile",0.30305664,flat
"Congo Democratic Republic, Celtel mobile",0.36370944,flat
"Congo Democratic Republic, mobile",0.88853760,flat
"Congo Democratic Republic, mobile Vodacom",0.25712640,flat
"Congo Democratic Republic, Tigo mobile",0.39502080,flat
"Congo, mobile",0.52047360,flat
Cook Islands,1.16246016,flat
"Cook Islands, mobile",1.16246016,flat
"Cook Islands, Special Services",4.64797440,flat
Costa Rica,0.01866240,flat
"Costa Rica, mobile",0.08366976,flat
Croatia,0.02509056,flat
"Croatia, mobile",0.15261696,flat
"Croatia, Zagreb",0.01658880,flat
Cuba,0.97635456,flat
"Cuba, mobile",0.97635456,flat
Cyprus,0.01451520,flat
"Cyprus, mobile",0.05215104,flat
"Cyprus, North",0.07102080,flat
Czech Republic,0.03131136,flat
"Czech Republic, mobile",0.02923776,flat
"Czech Republic, Prague",0.03131136,flat
Denmark,0.01244160,flat
"Denmark, mobile",0.24950400,flat
"Denmark, mobile Barablu",0.03545856,flat
"Denmark, mobile HI3G",0.03545856,flat
"Denmark, mobile Others",0.03545856,flat
"Denmark, mobile TDC Mobil",0.03545856,flat
"Denmark, mobile Telenor",0.03545856,flat
"Denmark, mobile Telia mobile",0.03545856,flat
Diego Garcia,2.11590144,flat
Djibouti,0.48086784,flat
"Djibouti, mobile",0.47869056,flat
Dominica,0.14639616,flat
"Dominica, mobile",0.32607360,flat
Dominican Republic,0.03545856,flat
"Dominican Republic, mob Centennial",0.11073024,flat
"Dominican Republic, mob Orange",0.11280384,flat
"Dominican Republic, mob Others",0.11073024,flat
"Dominican Republic, mob Tricom",0.11073024,flat
"Dominican Republic, mobile",0.16348800,flat
"Dominican Republic, mobile Ce",0.16348800,flat
"Dominican Republic, mobile Or",0.16348800,flat
"Dominican Republic, mobile Ot",0.16348800,flat
"Dominican Republic, mobile Tricom",0.16348800,flat
Ecuador,0.14411520,flat
"Ecuador, Cuenca",0.14411520,flat
"Ecuador, Guayaquil",0.14411520,flat
"Ecuador, Guayaquill",0.17827200,flat
"Ecuador, mobile",0.28636416,flat
"Ecuador, mobile Movistar",0.28014336,flat
"Ecuador, mobile Porta",0.28843776,flat
"Ecuador, Quito",0.14204160,flat
Egypt,0.09818496,flat
"Egypt, Alexandria",0.09403776,flat
"Egypt, Cairo",0.09818496,flat
"Egypt, mobile",0.17345664,flat
"Egypt, mobile Etisalat",0.12109824,flat
El Salvador,0.20476800,flat
"El Salvador, mobile",0.21949056,flat
"El Salvador, mobile Digicel",0.22571136,flat
Ellipso,4.64797440,flat
EMSAT,6.04039680,flat
Equatorial Guinea,0.26542080,flat
"Equatorial Guinea, mobile",0.26749440,flat
Eritrea,0.31777920,flat
"Eritrea, mobile",0.32400000,flat
Estonia,0.02301696,flat
"Estonia, mobile",0.43680384,flat
"Estonia, Special Services",0.79657344,flat
Ethiopia,0.34701696,flat
"Ethiopia, Addis Abeba",0.34286976,flat
"Ethiopia, mobile",0.34079616,flat
"Ethiopia, mobile ETA",0.31135104,flat
ETNS Euro Space,10.03186944,flat
Falkland Islands,1.62653184,flat
Faroe Islands,0.11695104,flat
"Faroe Islands, mobile",0.28014336,flat
Fiji Islands,0.34909056,flat
"Fiji Islands, mobile",0.34909056,flat
"Fiji Islands, Special Services",4.64797440,flat
Finland,0.05837184,flat
"Finland, Corporate",0.07516800,flat
"Finland, Helsinki",0.05629824,flat
"Finland, mobile",0.17212800,flat
"Finland, Mobile Aaland Mobil",0.07102080,flat
"Finland, Mobile DNA",0.06894720,flat
"Finland, Mobile Elisa",0.06894720,flat
"Finland, Mobile Others",0.06894720,flat
"Finland, Mobile Sonera",0.06894720,flat
"Finland, Mobile TDC",0.06894720,flat
"Finland, Premium",0.09611136,flat
"Finland, Special Services",0.14841600,flat
France,0.00622080,flat
"France, fixed alternative networks",0.03446400,flat
"France, mobile",0.03545856,flat
"France, mobile Bouygues",0.03338496,flat
"France, mobile Globalstar",0.58548096,flat
"France, mobile Orange",0.03338496,flat
"France, mobile SFR",0.03338496,flat
"France, Paris",0.00622080,flat
"France, Special Services",0.20912256,flat
French Antilles,0.03960576,flat
"French Antilles, mobile",0.16298496,flat
French Guiana,0.06272640,flat
"French Guiana, mobile",0.13996800,flat
French Polynesia,0.39294720,flat
"French Polynesia, mobile",0.42436224,flat
Gabon,0.59792256,flat
"Gabon, mobile",0.59999616,flat
Gambia,0.59999616,flat
"Gambia, mobile",0.63676800,flat
"Gambia, mobile Africell",0.59999616,flat
"Gambia, mobile Comium",0.59999616,flat
"Gambia, mobile Gamcell",0.59999616,flat
"Gambia, mobile Qcell",0.59999616,flat
Georgia,0.08138880,flat
"Georgia, mobile",0.14411520,flat
"Georgia, mobile Geocell",0.14411520,flat
"Georgia, mobile Magtikom",0.14411520,flat
"Georgia, Special services",0.08138880,flat
"Georgia, Tbilisi",0.08138880,flat
Germany,0.01451520,flat
"Germany, mobile",0.04385664,flat
"Germany, mobile Eplus",0.04593024,flat
"Germany, mobile O2",0.04593024,flat
"Germany, mobile T-Mobile",0.04593024,flat
"Germany, mobile Vodafone D2",0.04593024,flat
"Germany, Personal Number",0.08138880,flat
"Germany, Special Services",0.05215104,flat
Ghana,0.29051136,flat
"Ghana, Accra",0.29051136,flat
"Ghana, mobile",0.20912256,flat
"Ghana, mobile MTN",0.20684160,flat
Gibraltar,0.05837184,flat
"Gibraltar, mobile",0.39502080,flat
Globalstar,5.80836096,flat
Greece,0.01658880,flat
"Greece, Athens",0.01451520,flat
"Greece, mobile",0.02923776,flat
"Greece, mobile Wind",0.02923776,flat
Greenland,0.79024896,flat
"Greenland, mobile",0.81316224,flat
Grenada,0.28014336,flat
"Grenada, mobile",0.32607360,flat
Guadeloupe,0.02509056,flat
"Guadeloupe, mobile",0.10450944,flat
Guam,0.02509056,flat
"Guam, mobile",0.03545856,flat
Guatemala,0.17138304,flat
"Guatemala, mobile",0.19232640,flat
Guinea,0.62498304,flat
"Guinea, mobile",0.54566784,flat
"Guinea, mobile Areeba",0.58112640,flat
"Guinea, mobile Cellcom",0.55810944,flat
"Guinea, mobile Intercel",0.53519616,flat
"Guinea, mobile Orange",0.47869056,flat
"Guinea, mobile Sotelgui",0.61461504,flat
Guinea-Bissau,0.46832256,flat
"Guinea-Bissau, mobile",0.51010560,flat
Guyana,0.34909056,flat
"Guyana, mobile",0.38050560,flat
"Guyana, Special Services",0.46624896,flat
Haiti,0.41814144,flat
"Haiti, mobile",0.39502080,flat
Hawaii,0.01451520,flat
Honduras,0.16091136,flat
"Honduras, mobile",0.20476800,flat
Hong Kong,0.02509056,flat
"Hong Kong, mobile",0.02509056,flat
Hungary,0.01036800,flat
"Hungary, Budapest",0.01036800,flat
"Hungary, mobile",0.06272640,flat
Iceland,0.02923776,flat
"Iceland, mobile",0.16723584,flat
India,0.03338496,flat
"India, Bombay",0.02923776,flat
"India, Calcutta",0.02923776,flat
"India, mobile",0.02923776,flat
"India, mobile BSNL",0.02716416,flat
"India, New Delhi",0.02923776,flat
"India, Punjab",0.02923776,flat
Indonesia,0.06044544,flat
"Indonesia, Jakarta",0.01866240,flat
"Indonesia, mobile",0.03338496,flat
Inmarsat (SNAC) Aero,6.97092480,flat
Inmarsat B (SNAC) Except Pacific,4.30656000,flat
Inmarsat B (SNAC) -S,2.55705984,flat
Inmarsat B GAN,1.64332800,flat
Inmarsat B HSD (SNAC) -S,8.13131136,flat
Inmarsat BGAN SNAC,2.87385600,flat
Inmarsat HSD Atlantic Ocean East,12.90662400,flat
Inmarsat HSD Atlantic Ocean West,12.90662400,flat
Inmarsat HSD Indian Ocean,12.90662400,flat
Inmarsat HSD Pacific Ocean,12.90662400,flat
Inmarsat HSD SNAC Except Pacific,13.62729600,flat
Inmarsat M (SNAC) Except Pacific,2.32502400,flat
Inmarsat M4 (SNAC) HSD,8.13131136,flat
Inmarsat M4/ Atlantic Ocean East,12.90662400,flat
Inmarsat M4/ Atlantic Ocean West,12.90662400,flat
Inmarsat M4/ Indian Ocean,12.90662400,flat
Inmarsat M4/ Pacific Ocean,12.90662400,flat
Inmarsat Mini-M (SNAC) Except Pacific,2.87385600,flat
Inmarsat Mini-M Fleet,1.85867136,flat
Inmarsat SNAC,8.13131136,flat
Inmarsat-A Atlantic Ocean region East,12.90662400,flat
Inmarsat-A Atlantic Ocean region West,12.90662400,flat
Inmarsat-A Indian Ocean region,12.90662400,flat
Inmarsat-A Pacific Ocean region,12.90662400,flat
Inmarsat-AERO Atlantic Ocean region East,12.90662400,flat
Inmarsat-AERO Atlantic Ocean region West,12.90662400,flat
Inmarsat-AERO Indian Ocean region,12.90662400,flat
Inmarsat-AERO Pacific Ocean region,12.90662400,flat
Inmarsat-B Atlantic Ocean region East,12.90662400,flat
Inmarsat-B Atlantic Ocean region West,12.90662400,flat
Inmarsat-B Indian Ocean region,12.90662400,flat
Inmarsat-B Pacific Ocean region,12.90662400,flat
Inmarsat-M Atlantic Ocean region East,12.90662400,flat
Inmarsat-M Atlantic Ocean region West,12.90662400,flat
Inmarsat-M Indian Ocean region,12.90662400,flat
Inmarsat-M Pacific Ocean region,12.90662400,flat
Inmarsat-Mini M Atlantic Ocean region East,12.90662400,flat
Inmarsat-Mini M Atlantic Ocean region West,12.90662400,flat
Inmarsat-Mini M Indian Ocean region,12.90662400,flat
Inmarsat-Mini M Pacific Ocean region,12.90662400,flat
InSat,6.97092480,flat
"International Networks, shared code",8.13131136,flat
International Shared Cost Number,0.13374720,flat
Iran,0.06044544,flat
"Iran, mobile",0.11695104,flat
Iraq,0.18817920,flat
"Iraq, mobile",0.27599616,flat
Ireland,0.01244160,flat
"Ireland, mobile",0.13996800,flat
"Ireland, mobile H3G",0.10025856,flat
"Ireland, mobile Meteor",0.10233216,flat
"Ireland, mobile O2",0.08574336,flat
"Ireland, mobile Vodafone",0.06687360,flat
"Ireland, Special Services",0.22156416,flat
Iridium,5.80836096,flat
Israel,0.01244160,flat
"Israel, mobile",0.03131136,flat
"Israel, Tel Aviv",0.01451520,flat
Israel-Palestine Auth.,0.22571136,flat
"Israel-Palestine Auth., mobile",0.26127360,flat
Italy nomadiche,0.02227200,peak
Italy nomadiche,0.02227200,off_peak
"Italy, 155ccWind",0.12000000,flat
"Italy, 840 0 Telecom Italia",0.00000000,flat
"Italy, 840 1100 BT-Italia",0.00000000,flat
"Italy, 840 1107 BT-Italia",0.00000000,flat
"Italy, 840 1113 BT-Italia",0.00000000,flat
"Italy, 840 1117 BT-Italia",0.00000000,flat
"Italy, 840 1123 BT-Italia",0.00000000,flat
"Italy, 840 1137 BT-Italia",0.00000000,flat
"Italy, 840 1147 BT-Italia",0.00000000,flat
"Italy, 840 1161 BT-Italia",0.00000000,flat
"Italy, 840 1181 BT-Italia",0.00000000,flat
"Italy, 840 1199 BT-Italia",0.00000000,flat
"Italy, 840 1300 Eutelia",0.00000000,flat
"Italy, 840 1301 Eutelia",0.00000000,flat
"Italy, 840 1302 Eutelia",0.00000000,flat
"Italy, 840 1303 Eutelia",0.00000000,flat
"Italy, 840 1313 Eutelia",0.00000000,flat
"Italy, 840 1315 Eutelia",0.00000000,flat
"Italy, 840 1403 Fastweb Mediterranea",0.00000000,flat
"Italy, 840 1404 Fastweb Mediterranea",0.00000000,flat
"Italy, 840 1405 Fastweb Mediterranea",0.00000000,flat
"Italy, 840 1406 Fastweb Mediterranea",0.00000000,flat
"Italy, 840 1431 Eutelia",0.00000000,flat
"Italy, 840 1511 Eutelia",0.00000000,flat
"Italy, 840 2222 BT-Italia",0.00000000,flat
"Italy, 840 2922 BT-Italia",0.00000000,flat
"Italy, 840 300 Tiscali",0.00000000,flat
"Italy, 840 32 Colt Telecom",0.00000000,flat
"Italy, 840 6903 Eutelia",0.00000000,flat
"Italy, 840 6904 Eutelia",0.00000000,flat
"Italy, 840 6905 Eutelia",0.00000000,flat
"Italy, 840 6907 Eutelia",0.00000000,flat
"Italy, 840 6908 Eutelia",0.00000000,flat
"Italy, 840 6928 Eutelia (ex Noicom)",0.00000000,flat
"Italy, 840 6939 Eutelia",0.00000000,flat
"Italy, 840 70 BT/Albacom",0.00000000,flat
"Italy, 840 8 Telecom Italia",0.00000000,flat
"Italy, 840 8480 Fastweb",0.00000000,flat
"Italy, 840 8484 Fastweb",0.00000000,flat
"Italy, 840 8844 Fastweb",0.00000000,flat
"Italy, 840 8888 Fastweb",0.00000000,flat
"Italy, 840 9910 Tele 2",0.00000000,flat
"Italy, 848",0.04080000,peak
"Italy, 848",0.02352000,off_peak
"Italy, 848.0000xx Fastweb Mediterranea",0.03072000,peak
"Italy, 848.0000xx Fastweb Mediterranea",0.17548800,off_peak
"Italy, 848.0001xx Fastweb Mediterranea",0.06451200,peak
"Italy, 848.0001xx Fastweb Mediterranea",0.06451200,off_peak
"Italy, 848.0002xx Fastweb Mediterranea",0.04080000,peak
"Italy, 848.0002xx Fastweb Mediterranea",0.02352000,off_peak
"Italy, 848.0003xx Fastweb Mediterranea",0.04080000,peak
"Italy, 848.0003xx Fastweb Mediterranea",0.02352000,off_peak
"Italy, 848.0016xx Eutelia",0.03072000,peak
"Italy, 848.0016xx Eutelia",0.01756800,off_peak
"Italy, 848.1100xx BT",0.03072000,peak
"Italy, 848.1100xx BT",0.01756800,off_peak
"Italy, 848.1111xx BT",0.03072000,peak
"Italy, 848.1111xx BT",0.01756800,off_peak
"Italy, 848.1122xx BT",0.03072000,peak
"Italy, 848.1122xx BT",0.01756800,off_peak
"Italy, 848.1133xx BT",0.03072000,peak
"Italy, 848.1133xx BT",0.01756800,off_peak
"Italy, 848.1144xx BT",0.03072000,peak
"Italy, 848.1144xx BT",0.01756800,off_peak
"Italy, 848.1155xx BT",0.03072000,peak
"Italy, 848.1155xx BT",0.01756800,off_peak
"Italy, 848.1166xx BT",0.03072000,peak
"Italy, 848.1166xx BT",0.01756800,off_peak
"Italy, 848.1177xx BT",0.03072000,peak
"Italy, 848.1177xx BT",0.01756800,off_peak
"Italy, 848.1188xx BT",0.03072000,peak
"Italy, 848.1188xx BT",0.01756800,off_peak
"Italy, 848.1199xx BT",0.03072000,peak
"Italy, 848.1199xx BT",0.01756800,off_peak
"Italy, 848.1500xx BT",0.03072000,peak
"Italy, 848.1500xx BT",0.01756800,off_peak
"Italy, 848.1501xx BT",0.03072000,peak
"Italy, 848.1501xx BT",0.01756800,off_peak
"Italy, 848.1502xx BT",0.03072000,peak
"Italy, 848.1502xx BT",0.01756800,off_peak
"Italy, 848.1503xx BT",0.03072000,peak
"Italy, 848.1503xx BT",0.01756800,off_peak
"Italy, 848.1504xx BT",0.03072000,peak
"Italy, 848.1504xx BT",0.01756800,off_peak
"Italy, 848.1505xx BT",0.03072000,peak
"Italy, 848.1505xx BT",0.01756800,off_peak
"Italy, 848.1506xx BT",0.03072000,peak
"Italy, 848.1506xx BT",0.01756800,off_peak
"Italy, 848.1507xx BT",0.03072000,peak
"Italy, 848.1507xx BT",0.01756800,off_peak
"Italy, 848.1517xx BT",0.03072000,peak
"Italy, 848.1517xx BT",0.01756800,off_peak
"Italy, 848.1519xx BT",0.03072000,peak
"Italy, 848.1519xx BT",0.01756800,off_peak
"Italy, 848.1557xx BT",0.03072000,peak
"Italy, 848.1557xx BT",0.01756800,off_peak
"Italy, 848.1587xx BT",0.03072000,peak
"Italy, 848.1587xx BT",0.01756800,off_peak
"Italy, 848.1597xx BT",0.03072000,peak
"Italy, 848.1597xx BT",0.01756800,off_peak
"Italy, 848.1598xx BT",0.03072000,peak
"Italy, 848.1598xx BT",0.01756800,off_peak
"Italy, 848.1599xx BT",0.03072000,peak
"Italy, 848.1599xx BT",0.01756800,off_peak
"Italy, 848.2422xx Fastweb",0.03072000,peak
"Italy, 848.2422xx Fastweb",0.01756800,off_peak
"Italy, 848.2424xx Fastweb",0.04080000,peak
"Italy, 848.2424xx Fastweb",0.02352000,off_peak
"Italy, 848.380xxx Tiscali",0.03072000,peak
"Italy, 848.380xxx Tiscali",0.01756800,off_peak
"Italy, 848.4248 Brennercom",0.02582400,peak
"Italy, 848.4248 Brennercom",0.01286400,off_peak
"Italy, 848.4444xx Fastweb",0.04080000,peak
"Italy, 848.4444xx Fastweb",0.02352000,off_peak
"Italy, 848.4488xx Fastweb",0.06451200,flat
"Italy, 848.500xxx Telecom Italia",0.06451200,flat
"Italy, 848.5800 Wind",0.03072000,peak
"Italy, 848.5800 Wind",0.01756800,off_peak
"Italy, 848.5801 Wind",0.03072000,peak
"Italy, 848.5801 Wind",0.01756800,off_peak
"Italy, 848.5802 Wind",0.03072000,peak
"Italy, 848.5802 Wind",0.01756800,off_peak
"Italy, 848.5803 Wind",0.03072000,peak
"Italy, 848.5803 Wind",0.01756800,off_peak
"Italy, 848.5804 Wind",0.03072000,peak
"Italy, 848.5804 Wind",0.01756800,off_peak
"Italy, 848.5820 Wind",0.03072000,peak
"Italy, 848.5820 Wind",0.01756800,off_peak
"Italy, 848.66xxxx BT",0.03072000,peak
"Italy, 848.66xxxx BT",0.01756800,off_peak
"Italy, 848.6903xx Eutelia",0.03072000,peak
"Italy, 848.6903xx Eutelia",0.01756800,off_peak
"Italy, 848.6904xx Eutelia",0.03072000,peak
"Italy, 848.6904xx Eutelia",0.01756800,off_peak
"Italy, 848.6905xx Eutelia",0.03072000,peak
"Italy, 848.6905xx Eutelia",0.01756800,off_peak
"Italy, 848.6906xx Eutelia",0.03072000,peak
"Italy, 848.6906xx Eutelia",0.01756800,off_peak
"Italy, 848.6907xx Eutelia",0.03072000,peak
"Italy, 848.6907xx Eutelia",0.01756800,off_peak
"Italy, 848.78xxxx Albacom",0.03072000,peak
"Italy, 848.78xxxx Albacom",0.01756800,off_peak
"Italy, 848.8500 Telecom Italia",0.03081600,peak
"Italy, 848.8500 Telecom Italia",0.01766400,off_peak
"Italy, 848.8xxxxx Telecom Italia",0.03072000,peak
"Italy, 848.8xxxxx Telecom Italia",0.01756800,off_peak
"Italy, 848.98 Wind",0.03072000,peak
"Italy, 848.98 Wind",0.01756800,off_peak
"Italy, 848.9910 Tele2",0.03072000,peak
"Italy, 848.9910 Tele2",0.01756800,off_peak
"Italy, mobile H3G ported Noverca",0.07555200,peak
"Italy, mobile H3G ported Noverca",0.07555200,off_peak
"Italy, mobile Noverca",0.07555200,peak
"Italy, mobile Noverca",0.07555200,off_peak
"Italy, mobile Noverca ported H3G",0.07747200,peak
"Italy, mobile Noverca ported H3G",0.07747200,off_peak
"Italy, mobile Noverca ported TIM",0.07555200,peak
"Italy, mobile Noverca ported TIM",0.07555200,off_peak
"Italy, mobile Noverca ported Vodafone",0.07555200,peak
"Italy, mobile Noverca ported Vodafone",0.07555200,off_peak
"Italy, mobile Noverca ported Wind",0.07555200,peak
"Italy, mobile Noverca ported Wind",0.07555200,off_peak
"Italy, mobile TIM ported Noverca",0.07555200,peak
"Italy, mobile TIM ported Noverca",0.07555200,off_peak
"Italy, mobile Vodafone ported Noverca",0.07555200,peak
"Italy, mobile Vodafone ported Noverca",0.07555200,off_peak
"Italy, mobile WIND ported Noverca",0.07555200,peak
"Italy, mobile WIND ported Noverca",0.07555200,off_peak
"Italy, Servizio Clienti TIM",0.12000000,flat
"Italy, Servizio Clienti Vodafone",0.12000000,flat
"Italy, Special services 12.40",3.09763200,flat
"Italy, Special services 12.44",2.83948800,flat
"Italy, Special services 12.48",3.09763200,flat
"Italy, Special services 12.50",3.09763200,flat
"Italy, Special services 12.54",3.09763200,flat
"Italy, Special services 12.56",3.09763200,peak
"Italy, Special services 12.56",3.09763200,off_peak
"Italy, Special services 12.60",3.09763200,peak
"Italy, Special services 12.60",3.09763200,off_peak
"Italy, Special services 12.66",3.09763200,peak
"Italy, Special services 12.66",3.09763200,off_peak
"Italy, Special services 12.77",3.09763200,peak
"Italy, Special services 12.77",3.09763200,off_peak
"Italy, Special services 12.80",3.09763200,flat
"Italy, Special services 12.88",3.09763200,flat
"Italy, Special services 12.89",3.09763200,flat
"Italy, Special services 12.99",3.09763200,flat
"Italy, Special services 178.200 Karupa",0.67113600,flat
"Italy, Special services 178.202",0.86659200,flat
"Italy, Special services 178.203",0.86659200,flat
"Italy, Special services 178.208 Fastweb",0.67113600,peak
"Italy, Special services 178.208 Fastweb",0.67113600,off_peak
"Italy, Special services 178.214",0.25814400,flat
"Italy, Special services 178.215",0.53328000,flat
"Italy, Special services 178.216",0.39984000,flat
"Italy, Special services 178.22",0.21321600,flat
"Italy, Special services 178.24",0.12672000,flat
"Italy, Special services 178.27",0.21321600,flat
"Italy, Special services 178.33",0.67113600,flat
"Italy, Special services 178.400",0.86659200,flat
"Italy, Special services 178.44",0.67113600,flat
"Italy, Special services 178.60",0.21321600,flat
"Italy, Special services 199.1",0.30672000,peak
"Italy, Special services 199.1",0.12000000,off_peak
"Italy, Special services 199.103",0.67113600,flat
"Italy, Special services 199.200",0.02448000,flat
"Italy, Special services 199.201",0.67113600,flat
"Italy, Special services 199.203",0.30662400,peak
"Italy, Special services 199.203",0.12000000,off_peak
"Italy, Special services 199.207",0.12652800,flat
"Italy, Special Services 199.208",0.02582400,flat
"Italy, Special services 199.209020 Energit",0.25814400,flat
"Italy, Special services 199.210",0.12902400,flat
"Italy, Special services 199.213",0.38716800,flat
"Italy, Special services 199.214",0.30662400,peak
